Season,DayDate,Date,HomeTeam,Score,HomeGoal,AwayGoal,FTResult,AwayTeam,Over2.5,TotalGoals,BTTS,WinMargin
2021,Sa 13 Mar,13/3/2021,Lion City ,3 - 3,3,3,D, Tampines Rovers,+,6,+,0
2021,Sa 13 Mar,13/3/2021,A. Niigata (S) ,3 - 1,3,1,H, Hougang,+,4,+,2
2021,Su 14 Mar,14/3/2021,Geylang ,2 - 1,2,1,H, Tanjong Pagar,+,3,+,1
2021,Su 14 Mar,14/3/2021,Young Lions ,3 - 3,3,3,D, Khalsa,+,6,+,0
2021,We 17 Mar,17/3/2021,Hougang ,4 - 1,4,1,H, Geylang,+,5,+,3
2021,We 17 Mar,17/3/2021,Khalsa ,1 - 2,1,2,A, Tampines Rovers,+,3,+,1
2021,We 17 Mar,17/3/2021,Tanjong Pagar ,0 - 5,0,5,A, Lion City,+,5,-,5
2021,We 17 Mar,17/3/2021,Young Lions ,0 - 3,0,3,A, A. Niigata (S),+,3,-,3
2021,Sa 20 Mar,20/3/2021,Geylang ,1 - 1,1,1,D, Young Lions,-,2,+,0
2021,Sa 20 Mar,20/3/2021,Lion City ,1 - 3,1,3,A, Hougang,+,4,+,2
2021,Su 21 Mar,21/3/2021,Tampines Rovers ,3 - 1,3,1,H, Tanjong Pagar,+,4,+,2
2021,Su 21 Mar,21/3/2021,A. Niigata (S) ,0 - 0,0,0,D, Khalsa,-,0,-,0
2021,Sa 3 Apr,3/4/2021,Hougang ,5 - 1,5,1,H, Tampines Rovers,+,6,+,4
2021,Sa 3 Apr,3/4/2021,Young Lions ,1 - 3,1,3,A, Lion City,+,4,+,2
2021,Su 4 Apr,4/4/2021,A. Niigata (S) ,1 - 0,1,0,H, Geylang,-,1,-,1
2021,Su 4 Apr,4/4/2021,Khalsa ,4 - 0,4,0,H, Tanjong Pagar,+,4,-,4
2021,We 7 Apr,7/4/2021,Khalsa ,2 - 1,2,1,H, Geylang,+,3,+,1
2021,We 7 Apr,7/4/2021,Lion City ,2 - 2,2,2,D, A. Niigata (S),+,4,+,0
2021,We 7 Apr,7/4/2021,Tampines Rovers ,7 - 0,7,0,H, Young Lions,+,7,-,7
2021,We 7 Apr,7/4/2021,Tanjong Pagar ,3 - 3,3,3,D, Hougang,+,6,+,0
2021,Sa 10 Apr,10/4/2021,Khalsa ,0 - 1,0,1,A, Hougang,-,1,-,1
2021,Sa 10 Apr,10/4/2021,Young Lions ,0 - 4,0,4,A, Tanjong Pagar,+,4,-,4
2021,Su 11 Apr,11/4/2021,A. Niigata (S) ,2 - 1,2,1,H, Tampines Rovers,+,3,+,1
2021,Su 11 Apr,11/4/2021,Geylang ,0 - 8,0,8,A, Lion City,+,8,-,8
2021,Fr 16 Apr,16/4/2021,Tampines Rovers ,3 - 2,3,2,H, Geylang,+,5,+,1
2021,Sa 17 Apr,17/4/2021,Hougang ,1 - 1,1,1,D, Young Lions,-,2,+,0
2021,Sa 17 Apr,17/4/2021,Tanjong Pagar ,0 - 6,0,6,A, A. Niigata (S),+,6,-,6
2021,Su 18 Apr,18/4/2021,Lion City ,4 - 1,4,1,H, Khalsa,+,5,+,3
2021,Sa 24 Apr,24/4/2021,Hougang ,0 - 1,0,1,A, Lion City,-,1,-,1
2021,Sa 24 Apr,24/4/2021,Tanjong Pagar ,2 - 2,2,2,D, Tampines Rovers,+,4,+,0
2021,Su 25 Apr,25/4/2021,Khalsa ,1 - 4,1,4,A, A. Niigata (S),+,5,+,3
2021,Su 25 Apr,25/4/2021,Young Lions ,2 - 4,2,4,A, Geylang,+,6,+,2
2021,Su 2 May,2/5/2021,Young Lions ,0 - 4,0,4,A, Tampines Rovers,+,4,-,4
2021,Sa 8 May,8/5/2021,Tampines Rovers ,2 - 2,2,2,D, A. Niigata (S),+,4,+,0
